name,url,category,subcategory,tags,description,free_tier,catalog_or_supplier,status,last_checked,replacement_url,notes
Google Colab,https://colab.research.google.com,AI,Notebooks,"ai,compute",Free hosted notebooks,yes,no,unknown,,,
Hugging Face,https://huggingface.co,AI,Models,"ai,models",AI model hub,yes,no,unknown,,,
IT Tools,https://it-tools.tech,Web Tools,Developer,"tools,free",Open source utility toolbox,yes,no,unknown,,,
CyberChef,https://gchq.github.io/CyberChef,Web Tools,Encoding,"crypto,encoding",Data transform toolkit,yes,no,unknown,,,
MIT OpenCourseWare,https://ocw.mit.edu,Education,Courses,"education,free",Open course materials,yes,no,unknown,,,
Mushroom Observer,https://mushroomobserver.org,Mycology,Observation,fungi,Fungal observation database,yes,no,unknown,,,
McMaster-Carr,https://www.mcmaster.com,Materials,Supplier,hardware,Industrial catalog,n/a,yes,unknown,,,
Data.gov,https://data.gov,Datasets,Open Data,data,US open data portal,yes,no,unknown,,,
Android Developers,https://developer.android.com,Android,Docs,"android,dev",Android documentation,yes,no,unknown,,,
F-Droid,https://f-droid.org,Android,Apps,"android,oss",FOSS Android app store,yes,no,unknown,,,
Internet Archive,https://archive.org,Archives,Library,archive,Digital archive,yes,no,unknown,,,
Grants.gov,https://www.grants.gov,Grants,Funding,grants,Federal grants portal,yes,no,unknown,,,
aaarghhh/awesome_osint_blockchain_analysis,https://github.com/aaarghhh/awesome_osint_blockchain_analysis,AI,OSINT,"github,ai,osint,awesome_list,github_api,cryptocurrency,web3",A list of useful Crypto resources for OSINT investigations,,,unknown,,,source=github api: awesome osint | confidence=93
codefuse-ai/Awesome-Code-LLM,https://github.com/codefuse-ai/Awesome-Code-LLM,AI,Data,"github,ai,llm,awesome_list,github_api,awesome,datasets,nlp,papers,software-engineering,survey","[TMLR] A curated list of language modeling researches for code (and other software engineering activities), plus related datasets.",,,unknown,,,source=github api: awesome dataset | confidence=93
elbraino/awesome-blackhat-arsenal,https://github.com/elbraino/awesome-blackhat-arsenal,AI,OSINT,"github,ai,awesome_list,github_api,awesome,awesome-list,blackhat-arsenal,blue-teaming,cybersecurity,defensive-security,hacking-tools,malware-analysis",Curated collection of cybersecurity tools featured in Black Hat Arsenal events.,,,unknown,,,source=github api: awesome osint | confidence=93
FofaInfo/Awesome-FOFA,https://github.com/FofaInfo/Awesome-FOFA,AI,OSINT,"github,ai,awesome_list,github_api,cybersecurity,fofa,osint,search-engine,threat-intelligence","The FOFA Library collects usage tips, common scenarios, F&Q, and more for FOFA.",,,unknown,,,source=github api: awesome osint | confidence=93
FreedomIntelligence/Awesome-AI4Med,https://github.com/FreedomIntelligence/Awesome-AI4Med,AI,Data,"github,ai,awesome_list,github_api,awesome-lists,collection,datasets,medical,medical-imaging,medical-llms,medical-vlms,models","[Medical_NLP ➟ Awesome-AI4Med] medical-related LLMs, Multimodal systems, Datasets, Benchmarks, and more.",,,unknown,,,source=github api: awesome dataset | confidence=93
iCHAIT/awesome-macOS,https://github.com/iCHAIT/awesome-macOS,AI,harvested,"github,ai,awesome_list,github_api,apple,awesome,awesome-list,awesome-lists,list,mac,macos"," A curated list of awesome applications, softwares, tools and shiny things for macOS.",,,unknown,,,source=github api: awesome tool | confidence=93
ikaijua/Awesome-AITools,https://github.com/ikaijua/Awesome-AITools,AI,harvested,"github,ai,tool,awesome_list,github_api,agent-skills,artificial-intelligence,awesome,awesome-list,awesome-lists,chatgpt,claude",Collection of AI-related utilities. Welcome to submit pull requests /收藏AI相关的实用工具，欢迎提交pull requests,,,unknown,,,source=github api: awesome utility | confidence=93
kyrolabs/awesome-langchain,https://github.com/kyrolabs/awesome-langchain,AI,harvested,"github,ai,awesome_list,github_api,awesome,awesome-list,langchain,llm",😎 Awesome list of tools and projects with the awesome LangChain framework,,,unknown,,,source=github api: awesome tool | confidence=93
lonePatient/awesome-pretrained-chinese-nlp-models,https://github.com/lonePatient/awesome-pretrained-chinese-nlp-models,AI,Data,"github,ai,model,awesome_list,github_api,bert,chinese,dataset,ernie,gpt,gpt-2,large-language-models,llm",Awesome Pretrained Chinese NLP Models，高质量中文预训练模型&大模型&多模态模型&大语言模型集合,,,unknown,,,source=github api: awesome dataset | confidence=93
luban-agi/Awesome-Domain-LLM,https://github.com/luban-agi/Awesome-Domain-LLM,AI,Data,"github,ai,llm,awesome_list,github_api,awesome-list,dataset,nlp,paper-list",收集和梳理垂直领域的开源模型、数据集及评测基准。,,,unknown,,,source=github api: awesome dataset | confidence=93
OffcierCia/On-Chain-Investigations-Tools-List,https://github.com/OffcierCia/On-Chain-Investigations-Tools-List,AI,OSINT,"github,ai,tool,awesome_list,github_api,aml,awesome,awesome-list,awesome-readme,awsome-lists,bitcoin,blockchain,due-diligence","Here we discuss how one can investigate crypto hacks and security incidents, and collect all the possible tools and manuals! PRs are welcome! If any tool is missing - please open PR!",,,unknown,,,source=github api: awesome osint | confidence=93
taielab/awesome-hacking-lists,https://github.com/taielab/awesome-hacking-lists,AI,harvested,"github,ai,awesome_list,github_api,agents,aiagent,awesome-list,bounty-hunters,bug-bounty,bugbounty,bugbounty-tool","A curated collection of top-tier penetration testing tools and productivity utilities across multiple domains. Join us to explore, contribute, and enhance your hacking toolkit!",,,unknown,,,source=github api: awesome utility | confidence=93
ubikron/Awesome-AI-OSINT,https://github.com/ubikron/Awesome-AI-OSINT,AI,OSINT,"github,ai,osint,awesome_list,github_api,awesome-list,chrome-extensions,intelligence","A list of articles, videos, and tools related to the use of AI for OSINT.",,,unknown,,,source=github api: awesome osint | confidence=93
yunlong10/Awesome-LLMs-for-Video-Understanding,https://github.com/yunlong10/Awesome-LLMs-for-Video-Understanding,AI,Data,"github,llm,awesome_list,github_api","🔥🔥🔥 [IEEE TCSVT] Latest Papers, Codes and Datasets on Vid-LLMs.",,,unknown,,,source=github api: awesome dataset | confidence=93
All Awesome Lists,https://github.com/topics/awesome,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Android,https://github.com/JStumpp/awesome-android#readme,AI,Apps,"github,android,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Android Security,https://github.com/ashishb/android-security-awesome#readme,AI,Apps,"github,security,android,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Android UI,https://github.com/wasabeef/awesome-android-ui#readme,AI,Apps,"github,android,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Annual Security Reports,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,AI,harvested,"github,security,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Application Security,https://github.com/paragonie/awesome-appsec#readme,AI,harvested,"github,security,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Awesome,https://github.com/sindresorhus/awesome#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Awesome CLI,https://github.com/umutphp/awesome-cli,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
awesome-gis,https://github.com/sshuair/awesome-gis,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/awesome-selfhosted/awesome-selfhosted/master/README.md | confidence=83
Chrome DevTools,https://github.com/ChromeDevTools/awesome-chrome-devtools#readme,AI,harvested,"github,tool,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Critical-Path Tools,https://github.com/addyosmani/critical-path-css-tools#readme,AI,harvested,"github,tool,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Crypto Currency Tools & Algorithms,https://github.com/Zheaoli/awesome-coins#readme,AI,harvested,"github,tool,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Cyber Security University,https://github.com/brootware/awesome-cyber-security-university#readme,AI,harvested,"github,security,awesome_list,awesome,awesome-list,courses,curriculum,cyber-security,cybersecurity,education,educational-project",🎓 Because Education should be free. Contributions welcome! 🕵️,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Cybersecurity Blue Team,https://github.com/fabacab/awesome-cybersecurity-blueteam#readme,AI,Security,"github,security,cybersecurity,awesome_list,awesome-list,blue-team,computer-security,defensive-security,infosec",":computer:🛡️ A curated collection of awesome resources, tools, and other shiny things for cybersecurity blue teams.",,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Database Tools,https://github.com/mgramin/awesome-db-tools#readme,AI,harvested,"github,data,tool,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Datasets,https://github.com/jdorfman/awesome-json-datasets#readme,AI,Data,"github,dataset,data,awesome_list,awesome,awesome-list,datasets,json,json-dataset,list",A curated list of awesome JSON datasets that don't require authentication.,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Dojo Toolkit,https://github.com/petk/awesome-dojo#readme,AI,harvested,"github,tool,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Embedded and IoT Security,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,AI,harvested,"github,security,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
ES6 Tools,https://github.com/addyosmani/es6-tools#readme,AI,harvested,"github,tool,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
EVM Security,https://github.com/kareniel/awesome-evm-security#readme,AI,harvested,"github,security,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Game Datasets,https://github.com/leomaurodesenv/game-datasets#readme,AI,Data,"github,dataset,data,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
PCAPTools,https://github.com/caesar0301/awesome-pcaptools#readme,AI,harvested,"github,tool,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Public Datasets,https://github.com/awesomedata/awesome-public-datasets#readme,AI,Data,"github,dataset,data,awesome_list,aaron-swartz,awesome-public-datasets,datasets,opendata",A topic-centric list of HQ open datasets.,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Research Tools,https://github.com/emptymalei/awesome-research#readme,AI,harvested,"github,tool,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Robotic Tooling,https://github.com/protontypes/awesome-robotic-tooling#readme,AI,harvested,"github,tool,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Security,https://github.com/sbilly/awesome-security#readme,AI,harvested,"github,security,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Security Card Games,https://github.com/Karneades/awesome-security-card-games#readme,AI,harvested,"github,security,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
StumbleUponAwesome,https://github.com/basharovV/StumbleUponAwesome,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Tools for Activism,https://github.com/drewrwilson/toolsforactivism#readme,AI,harvested,"github,tool,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Tools of the Trade,https://github.com/cjbarber/ToolsOfTheTrade#readme,AI,harvested,"github,tool,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Vehicle Security and Car Hacking,https://github.com/jaredthecoder/awesome-vehicle-security#readme,AI,harvested,"github,security,awesome_list,automotive,awesome,awesome-list,car-hacking,cars,cybersecurity,hacking,hacking-vehicles",🚗  A curated list of resources for learning about vehicle security and car hacking.,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Web Security,https://github.com/qazbnm456/awesome-web-security#readme,AI,harvested,"github,security,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Web Tools,https://github.com/lvwzhen/tools#readme,AI,harvested,"github,tool,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=83
Awesome Search,https://awesomelists.top,AI,harvested,awesome_list,discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=75
SecurityTrails,https://securitytrails.com/dns-trails,AI,OSINT,"ai,security,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/jivoi/awesome-osint/master/README.md | confidence=75
Track Awesome List,https://www.trackawesomelist.com,AI,harvested,awesome_list,discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=75
.NET,https://github.com/quozd/awesome-dotnet#readme,AI,harvested,"github,awesome_list,awesome,awesome-list,clr,csharp,dotnet,fsharp","A collection of awesome .NET libraries, tools, frameworks and software",,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
30 Seconds of Code,https://github.com/30-seconds/30-seconds-of-code#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Actions on Google,https://github.com/ravirupareliya/awesome-actions-on-google#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
ActionScript 3,https://github.com/robinrodricks/awesome-actionscript3#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Ad-Free,https://github.com/johnjago/awesome-ad-free#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Ada/SPARK,https://github.com/ohenley/awesome-ada#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Adafruit IO,https://github.com/adafruit/awesome-adafruitio#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
ADS-B,https://github.com/rickstaa/awesome-adsb#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Advertising,https://github.com/cenoura/awesome-ads#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
AGI & CoCoSci,https://github.com/YuzheSHI/awesome-agi-cocosci#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Agriculture,https://github.com/brycejohnston/awesome-agriculture#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
AI in Finance,https://github.com/georgezouq/awesome-ai-in-finance#readme,AI,harvested,"github,ai,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Airtime,https://github.com/sourcefabric/Airtime,AI,harvested,"github,ai,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/awesome-selfhosted/awesome-selfhosted/master/README.md | confidence=73
Alfred Workflows,https://github.com/alfred-workflows/awesome-alfred-workflows#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Algorand,https://github.com/aorumbayev/awesome-algorand#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Algorithm Visualizations,https://github.com/enjalot/algovis#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Algorithms,https://github.com/tayllan/awesome-algorithms#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Amazon Alexa,https://github.com/miguelmota/awesome-amazon-alexa#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Amazon Sellers,https://github.com/ScaleLeap/awesome-amazon-seller#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Amazon Web Services,https://github.com/donnemartin/awesome-aws#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Analytics,https://github.com/0xnr/awesome-analytics#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Angular,https://github.com/PatrickJS/awesome-angular#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Ansible,https://github.com/ansible-community/awesome-ansible#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Answers,https://github.com/cyberglot/awesome-answers#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Answers,https://github.com/stoeffel/awesome-ama-answers#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Ant Design,https://github.com/websemantics/awesome-ant-design#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Apache Spark,https://github.com/awesome-spark/awesome-spark#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Apache Wicket,https://github.com/PhantomYdn/awesome-wicket#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
AppImage,https://github.com/AppImage/awesome-appimage#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Appium,https://github.com/SrinivasanTarget/awesome-appium#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Apps,https://github.com/jaywcjlove/awesome-mac#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
ArcGIS Developer,https://github.com/Esri/awesome-arcgis-developer#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Arch-based Projects,https://github.com/PandaFoss/Awesome-Arch#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Artificial Intelligence,https://github.com/owainlewis/awesome-artificial-intelligence#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Astrophotography,https://github.com/lunohodov/awesome-astrophotography#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Asyncio,https://github.com/timofurrer/awesome-asyncio#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Atom,https://github.com/mehcode/awesome-atom#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
ATProto,https://github.com/atblueprints/awesome-atproto#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Audio Over IP,https://github.com/Mo-way/awesome-aoip#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Audio Visualization,https://github.com/willianjusten/awesome-audio-visualization#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Audiovisual,https://github.com/stingalleman/awesome-audiovisual#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Audit Algorithms,https://github.com/erwanlemerrer/awesome-audit-algorithms#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Aurelia,https://github.com/aurelia-contrib/awesome-aurelia#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
AutoHotkey,https://github.com/ahkscript/awesome-AutoHotkey#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
AutoIt,https://github.com/J2TeaM/awesome-AutoIt#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Babylon.js,https://github.com/Symbitic/awesome-babylonjs#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Backbone,https://github.com/sadcitizen/awesome-backbone#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Backstage,https://github.com/shano/awesome-backstage#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Beginner-Friendly Projects,https://github.com/MunGell/awesome-for-beginners#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Big Data,https://github.com/0xnr/awesome-bigdata#readme,AI,harvested,"github,data,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Billing,https://github.com/kdeldycke/awesome-billing#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Bioinformatics,https://github.com/danielecook/Awesome-Bioinformatics#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Biological Image Analysis,https://github.com/hallvaaw/awesome-biological-image-analysis#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Biological Visualizations,https://github.com/keller-mark/awesome-biological-visualizations#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Biomedical Information Extraction,https://github.com/caufieldjh/awesome-bioie#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Bitcoin,https://github.com/igorbarinov/awesome-bitcoin#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Bitcoin Payment Processors,https://github.com/alexk111/awesome-bitcoin-payment-processors#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Blazor,https://github.com/AdrienTorris/awesome-blazor#readme,AI,harvested,"github,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
Blockchain AI,https://github.com/steven2358/awesome-blockchain-ai#readme,AI,harvested,"github,ai,awesome_list",discovered by atlas harvester,,,unknown,,,source=raw markdown: https://raw.githubusercontent.com/sindresorhus/awesome/main/readme.md | confidence=73
